ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3702,1551,76,56,678,4595,5329
E06000047,County Durham,670,329,14,16,141,856,1013
E06000005,Darlington,164,62,3,3,21,205,229
E08000037,Gateshead,336,158,5,4,48,447,499
E06000001,Hartlepool,114,28,2,2,22,120,144
E06000002,Middlesbrough,214,70,1,2,33,250,285
E08000021,Newcastle upon Tyne,517,202,9,1,78,649,728
E08000022,North Tyneside,277,123,3,7,38,358,403
E06000057,Northumberland,470,224,22,15,112,589,716
E06000003,Redcar and Cleveland,141,40,3,2,38,144,184
E08000023,South Tyneside,201,75,3,1,33,245,279
E06000004,Stockton-on-Tees,210,65,1,1,46,229,276
E08000024,Sunderland,388,175,10,2,68,503,573
E12000002,North West,10021,4621,138,177,2580,12027,14784
E06000008,Blackburn with Darwen,250,145,3,3,69,326,398
E06000009,Blackpool,289,113,1,0,51,352,403
E08000001,Bolton,302,145,5,7,80,365,452
E08000002,Bury,152,84,2,0,30,208,238
E06000049,Cheshire East,639,352,14,11,195,799,1005
E06000050,Cheshire West and Chester,590,241,4,11,165,659,835
E10000006,Cumbria,890,479,28,24,173,1200,1397
E06000006,Halton,197,79,3,6,41,232,279
E08000011,Knowsley,182,88,1,5,50,216,271
E10000017,Lancashire,2132,902,41,38,637,2403,3078
E08000012,Liverpool,916,322,6,8,232,1004,1244
E08000003,Manchester,666,344,4,14,145,855,1014
E08000004,Oldham,241,124,2,5,61,301,367
E08000005,Rochdale,211,112,0,5,60,258,323
E08000006,Salford,259,132,0,3,56,332,391
E08000014,Sefton,350,127,1,5,82,391,478
E08000013,St. Helens,213,87,7,3,62,243,308
E08000007,Stockport,195,101,2,6,57,235,298
E08000008,Tameside,187,108,0,6,44,245,295
E08000009,Trafford,207,94,0,2,41,258,301
E06000007,Warrington,346,199,9,5,69,480,554
E08000010,Wigan,225,98,2,4,57,264,325
E08000015,Wirral,382,145,3,6,123,401,530
E12000003,Yorkshire and The Humber,9222,3512,197,143,2000,10793,12936
E08000016,Barnsley,415,134,11,2,71,487,560
E08000032,Bradford,841,391,14,13,174,1059,1246
E08000033,Calderdale,269,151,7,5,85,337,427
E08000017,Doncaster,626,186,14,5,93,728,826
E06000011,East Riding of Yorkshire,565,251,21,16,158,663,837
E06000010,"Kingston upon Hull, City of",600,184,8,2,108,682,792
E08000034,Kirklees,540,243,8,9,142,640,791
E08000035,Leeds,1413,506,14,18,291,1626,1935
E06000012,North East Lincolnshire,400,104,12,4,69,443,516
E06000013,North Lincolnshire,380,142,22,5,88,451,544
E10000023,North Yorkshire,1044,490,31,38,327,1200,1565
E08000018,Rotherham,410,135,11,6,77,476,559
E08000019,Sheffield,922,289,12,7,157,1059,1223
E08000036,Wakefield,451,190,3,8,101,535,644
E06000014,York,346,116,9,5,59,407,471
E12000004,East Midlands,7491,3356,258,155,1685,9414,11254
E06000015,Derby,450,198,9,6,92,559,657
E10000007,Derbyshire,1109,574,60,29,331,1383,1743
E06000016,Leicester,691,243,7,4,90,847,941
E10000018,Leicestershire,931,496,22,25,205,1219,1449
E10000019,Lincolnshire,1434,641,71,38,309,1847,2194
E10000021,Northamptonshire,912,375,14,19,268,1014,1301
E06000018,Nottingham,691,238,10,4,100,873,977
E10000024,Nottinghamshire,1226,557,57,26,277,1600,1903
E06000017,Rutland,47,34,8,4,13,72,89
E12000005,West Midlands,8231,3962,187,153,1585,10644,12382
E08000025,Birmingham,1790,816,22,10,368,2250,2628
E08000026,Coventry,440,170,4,12,95,507,614
E08000027,Dudley,310,147,4,6,73,382,461
E06000019,"Herefordshire, County of ",238,141,13,11,54,327,392
E08000028,Sandwell,413,209,7,10,93,526,629
E06000051,Shropshire,399,200,12,15,107,489,611
E08000029,Solihull,195,85,2,5,36,241,282
E10000028,Staffordshire,1392,715,56,24,142,1997,2163
E06000021,Stoke-on-Trent,415,215,4,5,35,596,636
E06000020,Telford and Wrekin,174,112,7,3,33,257,293
E08000030,Walsall,348,156,8,10,86,416,512
E10000031,Warwickshire,1106,523,24,27,257,1369,1653
E08000031,Wolverhampton,321,152,4,3,68,406,477
E10000034,Worcestershire,690,321,20,12,138,881,1031
E12000006,East of England,9433,4390,197,174,1985,11861,14020
E06000055,Bedford,309,125,9,6,66,371,443
E10000003,Cambridgeshire,1024,499,23,23,257,1266,1546
E06000056,Central Bedfordshire,458,202,12,6,92,574,672
E10000012,Essex,2203,1029,41,32,532,2709,3273
E10000015,Hertfordshire,1763,842,29,33,311,2290,2634
E06000032,Luton,348,113,1,4,39,419,462
E10000020,Norfolk,1249,595,38,34,306,1542,1882
E06000031,Peterborough,340,161,2,4,62,437,503
E06000033,Southend-on-Sea,316,133,2,2,72,377,451
E10000029,Suffolk,1149,574,38,29,199,1533,1761
E06000034,Thurrock,274,117,2,1,49,343,393
E12000007,London,21069,4886,75,128,1979,23923,26030
E09000002,Barking and Dagenham,414,91,2,2,38,467,507
E09000003,Barnet,731,251,1,5,91,887,983
E09000004,Bexley,403,53,0,1,22,433,456
E09000005,Brent,732,170,8,2,82,826,910
E09000006,Bromley,638,103,2,3,46,694,743
E09000007,Camden,738,180,3,3,65,853,921
E09000001,City of London,308,40,0,4,50,294,348
E09000008,Croydon,756,219,3,8,61,909,978
E09000009,Ealing,877,166,3,1,77,968,1046
E09000010,Enfield,633,156,3,4,47,741,792
E09000011,Greenwich,563,74,0,4,33,600,637
E09000012,Hackney,688,200,2,7,53,830,890
E09000013,Hammersmith and Fulham,562,119,0,3,64,614,681
E09000014,Haringey,717,177,4,4,78,816,898
E09000015,Harrow,370,113,3,3,46,437,486
E09000016,Havering,467,124,6,4,38,555,597
E09000017,Hillingdon,522,173,5,4,68,628,700
E09000018,Hounslow,717,173,3,3,57,833,893
E09000019,Islington,690,160,1,1,92,758,851
E09000020,Kensington and Chelsea,581,131,0,2,66,644,712
E09000021,Kingston upon Thames,312,86,1,2,37,360,399
E09000022,Lambeth,1049,213,1,9,87,1167,1263
E09000023,Lewisham,754,165,2,7,56,858,921
E09000024,Merton,410,95,5,3,45,462,510
E09000025,Newham,669,134,0,5,55,743,803
E09000026,Redbridge,636,123,1,4,43,713,760
E09000027,Richmond upon Thames,423,102,3,3,49,476,528
E09000028,Southwark,828,185,0,5,62,946,1013
E09000029,Sutton,276,87,4,4,25,338,367
E09000030,Tower Hamlets,860,184,0,8,80,956,1044
E09000031,Waltham Forest,602,153,3,2,54,702,758
E09000032,Wandsworth,798,197,5,0,80,920,1000
E09000033,Westminster,1322,275,0,6,131,1460,1597
E09000018,London Airport (Heathrow),23,14,1,2,1,35,38
E12000008,South East,16231,6880,326,227,3945,19322,23494
E06000036,Bracknell Forest,128,60,2,1,23,166,190
E06000043,Brighton and Hove,637,156,0,2,146,645,793
E10000002,Buckinghamshire,734,344,43,17,189,915,1121
E10000011,East Sussex,1012,386,18,15,328,1073,1416
E10000014,Hampshire,1985,948,43,36,686,2254,2976
E06000046,Isle of Wight,226,97,3,2,64,260,326
E10000016,Kent,3220,1337,60,45,545,4028,4618
E06000035,Medway,477,177,7,1,56,604,661
E06000042,Milton Keynes,470,211,5,10,83,594,687
E10000025,Oxfordshire,1127,538,32,26,314,1357,1697
E06000044,Portsmouth,462,127,0,1,94,494,589
E06000038,Reading,229,125,4,4,39,315,358
E06000039,Slough,318,113,2,2,42,389,433
E06000045,Southampton ,450,182,4,1,119,516,636
E10000030,Surrey,2693,1149,65,34,645,3283,3962
E06000037,West Berkshire,209,112,4,6,53,266,325
E10000032,West Sussex,1429,637,22,19,421,1648,2088
E06000040,Windsor and Maidenhead,255,93,5,2,54,297,353
E06000041,Wokingham,170,88,7,3,44,218,265
E12000009,South West,7707,3582,139,173,1750,9505,11428
E06000022,Bath and North East Somerset,190,93,1,6,39,239,284
E06000028,Bournemouth,421,106,2,1,68,460,529
E06000023,"Bristol, City of",722,298,4,8,110,906,1024
E06000052,Cornwall,808,476,25,24,200,1085,1309
E10000008,Devon,1151,576,33,22,279,1459,1760
E10000009,Dorset,638,263,10,15,194,702,911
E10000013,Gloucestershire,510,276,12,28,170,600,798
E06000053,Isles of Scilly,1,1,0,0,1,1,2
E06000024,North Somerset,244,123,3,1,49,320,370
E06000026,Plymouth,413,183,2,3,78,517,598
E06000029,Poole,310,76,0,2,73,311,386
E10000027,Somerset,786,365,11,32,158,972,1162
E06000025,South Gloucestershire,295,120,8,5,46,372,423
E06000030,Swindon,297,115,6,2,61,355,418
E06000027,Torbay,208,87,3,1,40,257,298
E06000054,Wiltshire,713,424,19,23,184,949,1156
E92000001,England,93107,36740,1593,1386,18187,112084,131657
