POA category,Avon & Somerset,Bedfordshire,Cambridgeshire,Cheshire,Cleveland,Cumbria,Derbyshire,Devon & Cornwall,Dorset,Durham,Dyfed-Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire,City of London,Metropolitan
TOTAL Local Policing,1459.97,446.5,579.16,1002.4,720.29,682.2,941,1288.65,616,590.8,626,1302.13,605,3189.323585,722.76,1662.5,941.5155,772.73,1773.02,1597,1173.2,558.9,1830.98,845.89,777.77,734.2,576,2287.069706,1165.5925,1296,1376,997.09,607,775.65,1532.74,2176.73,453.22,1008.78,3040.02,2315.76,497,182.9788265,14293.7
Neighbourhood Policing,276.78,20,290,597,214.42,494.4,172,330.46,131,163.8,572,176.75,358,1606.96507,683.01,552.5,214.8979,147.63,940.59,557,588.2,84.1,666,232,108,126.2,196.5,647.9,271.1424167,224,309,207.61,136.3,276.25,304.65,752.44,65.41,145.59,1372.1,1032.52,117,17.18585663,4863.7
Incident (response) Management,1127.74,393,272.25,314,466.71,164,704,884.1,469,397.2,0,1038.42,238,1403.475366,0,956.2,640.115,571.41,688.15,957,553,456.8,1019.82,560,614,574,352,1565.841397,797.0175833,924,975,672,418.7,471.4,1156,1343.29,374.79,834.21,1312.15,1016.79,342,158.7164406,7352
TOTAL Dealing with the Public,25.39,10,33,36.8,8,11,28,67.49,35,42,8,81,38.5,134.8611394,33,37,37.9618,59.8,16.1,42,24.3,7,158.25,36,31,18,32.5,65.76713235,49.50858333,39,7,38.37,37,15.45,22.09,39,13.95,31.05,224.35,125.34,12,29.31704954,656.6233589
Local Call Centres / Front Desk,15.39,0,0,4.7,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.29,0,0,0,0
Central Communications Unit,8,7,32,31.1,8,10,24,64.48,28,35,6,81,37,132.9798109,32,31,34.9618,58.8,14.1,42,21.3,7,154.25,35,30,17,32.5,64.34,45.42525,37,7,37.37,32,13,18.09,37,13.95,31.05,23.06,125.34,9,29.31704954,656.6233589
TOTAL Criminal Justice Arrangements,102.19,20,40,71.9,36.79,33,32,93.32,40,54,47,115,18.5,146.9509561,42,91,40.39,35,75.8,66,42,30,199,52.67,45.9,46,45.5,49.45272059,55.53468468,108,67,50.04,38.2,36,89.9,126,22.32,49.68,176.71,69.5,31,10.10932743,519.3365163
Custody,88.59,17,39,41.8,28.81,26,31,86.26,28,29.5,43,98,16,117.0284306,42,89,36.39,25,66,65,39,23.5,94,48.55,44.9,31,28,48.59845588,52.58333333,72,56,37.14,37.4,36,81,89,22.01,48.99,146.31,66.5,27,0,453.0615953
Criminal Justice,8.6,1,0,27.1,1,3,0,3.05,11,22.5,3,2,0,25.08697395,0,2,3,9,5.8,0,2,3,103,3.56,1,11,15.5,0.427132353,0,35,7,8.9,0.4,0,7.9,23,0,0,17.4,1.51,1,10.10932743,64.18654715
TOTAL Road Policing,108.89,52.5,72.03,95.8,49.29,92.2,69.8,105.38,49,88.25,84,152,58,244.7597536,72.5,160,98.6625,98,107.32,134,67.3,42.2,127,107.99,69,97,53,151.41,38,136,108,54,45,107,159.8,201,83.08,184.92,225.5,192,43,10.10932743,587.5572703
TOTAL Operational Support,229.7,82.5,122.1,105.4,77.69,52.5,118.2,223.07,79,44,81,275,78,489.9324278,92.5,180,72.975,120.5,192.8,207,127,56.6,335.4,31.03,79,131,74,169.58,108.8333333,230,204,111.92,62.7,91.1,269.4,192.5,32.86,73.14,383.5,218.96,68,110.191669,1966.340128
TOTAL Intelligence,132.09,48.4,62.00124224,92,91.93,43,89,115.19,49,74.5,29.2,163.1,67,330.3923669,72.7,98,65.5883,93.83,154.3,132.4,115,46.6,222.35,48.25,37,64,39,184.97,111.1125,107,107,49.29,45,107,91.08,286.71,38.75,86.25,359.98,135,26,54.59036812,1198.516279
Intelligence Analysis / Threat Assessments,31.6,0,16.00124224,29.4,61.93,22,22,26.42,1,40.6,17.7,16,25,178.8331917,37,12,22.0633,43.83,64.05,39,55.5,19.8,62.35,19.48,9,28,24,117.97,53.2625,63,35,10,21.8,18,16.9,112.71,1.86,4.14,176.33,78,10,17.18585663,666.7
Intelligence Gathering,95.49,46,46,60.6,28,19,64,84.59,45,31.9,9.5,146.1,41,149.6966244,34.7,84,40.525,49,84.25,93.4,57.5,25.8,153,28.77,27,32,15,62,54.85,43,72,29.4,23.2,89,58.85,165,32.86,73.14,175.65,57,15,32.34984777,530
TOTAL Investigations,667.86,318.6,380.81,381.6,311.01,190,494.8,1020.23,219,305.2,171.9,790.21,198,1574.065807,286.45,871,584.1005,437.75,661.58,676,425.7,303.1,870.45,349.16,271.63125,243.1,344,483.4349265,505.863982,781,697,393.03,325.23,627.7,502.8,1025.38,206.77,460.23,2209,1247.26,268,212.295876,7746.900057
Local Investigation/ prisoner processing,368.84,124,156,136.2,124.41,91,238,685.87,125,177,92,367.11,118,785.6875512,93,602,360.1944,234.1,363.82,400,132.9,184.1,327.35,174.58,136,126,206,116.22,242.9593986,505,366,192.09,227.41,352.8,244.01,590.07,124.93,278.07,1164,701.06,169,49.1313313,3535.088746
TOTAL Investigative support,8,8,0.31,12.9,3,6,12,7.68,2,0,8,14,4,7.460727231,9,16,0,3,2.5,2,2.7,2,0,0,3,2,8,14.01,9,7,1,3,3,3,2,0,0.31,0.69,30,0,3,5.054663714,1.015971098
Scenes of Crime Officers,0,0,0,0,2,0,0,5.01,0,0,2,7,1,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,6,0,0,0,0
TOTAL National Policing,88.2,58.2,9,44.9,36.53,15,50.8,41.25,62,30,67,101,59,346,24,76,21,44,189.2,72,66.2,26,115,55.32,67,29.5,11,44.95,54.675,96,48,30.63,29.53,20,116,222,9.68,27.02,371,298.43,40,88.80902297,3574.33982
TOTAL Support Functions,104.33,37,38.23333333,57.5,43.78,36.1,46,102.83,53,48,36,112,50,247.4248303,34,85.5,61.3313,43.23,126.36,88,74.1,26.9,122.3,45.73,55.68,27.2,37,90.35551471,44.26666667,109,109,33.55,34.38,75.6,89.42,95.05,17.05,44.85,166.89,188.73,40,41.04386936,1412.669323
Human Resources,0,0,0,1,1,1,1,2.01,0,0,0,5,0,3.825271803,0,1,2,0,1,0,0,0,0,2.25,2,0,4,0,0.166666667,0,3,1.55,2.84,1,0,2,0.31,0.69,0,0,1,1.010932743,3.9
Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Communication Technology,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,6,0,0,0,0,0,2,0,0,0,1,4,0,1,0,0,1,0,0,0,0,2,0,0,28.72776035
