ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3731,1424,88,58,784,4401,5243
E06000047,County Durham,595,249,22,24,169,673,866
E06000005,Darlington,144,59,4,0,30,177,207
E08000037,Gateshead,365,145,7,4,56,457,517
E06000001,Hartlepool,109,25,2,1,33,102,136
E06000002,Middlesbrough,245,55,4,0,51,253,304
E08000021,Newcastle upon Tyne,557,199,9,4,93,668,765
E08000022,North Tyneside,321,123,3,1,50,396,447
E06000057,Northumberland,457,237,22,15,112,589,716
E06000003,Redcar and Cleveland,142,41,7,4,42,144,190
E08000023,South Tyneside,188,65,0,1,24,228,253
E06000004,Stockton-on-Tees,234,74,3,1,63,247,311
E08000024,Sunderland,374,152,5,3,61,467,531
E12000002,North West,9062,3830,210,172,2390,10543,13105
E06000008,Blackburn with Darwen,272,113,12,1,74,323,398
E06000009,Blackpool,289,84,0,1,54,318,373
E08000001,Bolton,253,112,8,4,65,304,373
E08000002,Bury,119,59,1,2,28,149,179
E06000049,Cheshire East,548,275,14,18,151,668,837
E06000050,Cheshire West and Chester,528,221,7,12,144,600,756
E10000006,Cumbria,810,427,56,27,177,1089,1293
E06000006,Halton,146,75,3,4,27,193,224
E08000011,Knowsley,211,56,4,2,42,227,271
E10000017,Lancashire,1976,907,55,32,596,2312,2940
E08000012,Liverpool,876,255,6,10,210,917,1137
E08000003,Manchester,510,210,3,11,116,596,723
E08000004,Oldham,215,64,10,3,63,223,289
E08000005,Rochdale,167,76,6,5,46,198,249
E08000006,Salford,206,78,0,4,43,237,284
E08000014,Sefton,354,117,5,5,109,362,476
E08000013,St. Helens,212,101,4,1,46,270,317
E08000007,Stockport,168,61,1,5,42,183,230
E08000008,Tameside,161,75,2,2,45,191,238
E08000009,Trafford,189,69,2,4,49,207,260
E06000007,Warrington,345,153,7,4,81,420,505
E08000010,Wigan,160,87,1,8,60,180,248
E08000015,Wirral,347,155,3,7,122,376,505
E12000003,Yorkshire and The Humber,9289,3309,209,131,1873,10804,12808
E08000016,Barnsley,380,110,9,3,60,436,499
E08000032,Bradford,862,350,23,7,169,1059,1235
E08000033,Calderdale,281,125,5,6,73,332,411
