ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3169,1334,86,53,799,3740,4592
E06000047,County Durham,543,252,10,22,144,639,805
E06000005,Darlington,147,55,6,3,33,172,208
E08000037,Gateshead,274,135,6,5,55,355,415
E06000001,Hartlepool,96,23,1,3,31,86,120
E06000002,Middlesbrough,190,59,4,0,33,220,253
E08000021,Newcastle upon Tyne,432,178,7,3,92,522,617
E08000022,North Tyneside,266,96,7,1,61,307,369
E06000057,Northumberland,408,213,24,11,145,490,646
E06000003,Redcar and Cleveland,106,41,3,1,34,115,150
E08000023,South Tyneside,166,74,2,2,41,199,242
E06000004,Stockton-on-Tees,181,67,6,2,44,208,254
E08000024,Sunderland,360,141,10,0,86,427,513
E12000002,North West,8862,3623,227,179,2427,10121,12727
E06000008,Blackburn with Darwen,280,125,9,2,66,348,416
E06000009,Blackpool,305,105,4,2,77,337,416
E08000001,Bolton,244,112,6,9,72,281,362
E08000002,Bury,128,52,3,4,30,149,183
E06000049,Cheshire East,568,265,14,18,147,682,847
E06000050,Cheshire West and Chester,540,221,12,13,112,648,773
E10000006,Cumbria,936,301,42,27,243,1011,1281
E06000006,Halton,176,78,3,1,42,214,257
E08000011,Knowsley,166,62,6,3,62,169,234
E10000017,Lancashire,1914,843,77,43,563,2237,2843
E08000012,Liverpool,799,245,4,6,225,817,1048
E08000003,Manchester,488,224,2,9,128,577,714
E08000004,Oldham,167,80,4,5,45,201,251
E08000005,Rochdale,156,76,1,5,52,176,233
E08000006,Salford,201,87,1,6,54,229,289
E08000014,Sefton,343,114,4,2,81,378,461
E08000013,St. Helens,180,93,6,5,55,219,279
E08000007,Stockport,151,71,5,3,60,164,227
E08000008,Tameside,144,67,5,1,41,174,216
E08000009,Trafford,133,59,3,4,27,164,195
E06000007,Warrington,333,153,7,4,75,414,493
E08000010,Wigan,166,65,6,5,55,177,237
E08000015,Wirral,344,125,3,2,115,355,472
E12000003,Yorkshire and The Humber,9097,3124,224,130,2100,10224,12454
E08000016,Barnsley,388,140,10,7,90,442,539
E08000032,Bradford,827,298,25,7,155,988,1150
E08000033,Calderdale,291,106,10,8,57,342,407
E08000017,Doncaster,600,184,10,13,128,654,795
E06000011,East Riding of Yorkshire,553,200,21,14,145,615,774
E06000010,"Kingston upon Hull, City of",643,158,2,6,142,655,803
E08000034,Kirklees,594,195,13,5,128,669,802
E08000035,Leeds,1466,434,26,9,302,1615,1926
E06000012,North East Lincolnshire,296,101,3,0,69,331,400
E06000013,North Lincolnshire,296,102,14,10,68,334,412
E10000023,North Yorkshire,1070,440,52,25,355,1182,1562
E08000018,Rotherham,412,141,6,7,110,443,560
E08000019,Sheffield,844,300,9,8,186,965,1159
E08000036,Wakefield,469,199,16,6,116,562,684
E06000014,York,348,126,7,5,49,427,481
E12000004,East Midlands,6884,2639,217,181,1539,8145,9865
E06000015,Derby,391,145,1,3,70,464,537
E10000007,Derbyshire,978,361,39,29,236,1113,1378
E06000016,Leicester,649,182,14,5,88,752,845
E10000018,Leicestershire,861,371,20,34,161,1057,1252
