ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3598,1346,209,70,671,4412,5153
E06000047,County Durham,626,271,52,26,157,766,949
E06000005,Darlington,145,80,6,6,28,197,231
E08000037,Gateshead,313,139,15,7,53,407,467
E06000001,Hartlepool,104,32,6,0,19,123,142
E06000002,Middlesbrough,208,46,12,4,32,230,266
E08000021,Newcastle upon Tyne,477,167,10,0,71,583,654
E08000022,North Tyneside,294,98,13,4,45,356,405
E06000057,Northumberland,446,207,46,13,107,579,699
E06000003,Redcar and Cleveland,151,33,13,1,32,164,197
E08000023,South Tyneside,184,50,11,0,23,222,245
E06000004,Stockton-on-Tees,236,67,11,6,39,269,314
E08000024,Sunderland,414,156,14,3,65,516,584
E12000002,North West,9610,4059,377,143,2347,11568,14058
E06000008,Blackburn with Darwen,272,133,10,0,65,350,415
E06000009,Blackpool,330,93,5,4,65,360,429
E08000001,Bolton,283,129,11,7,61,355,423
E08000002,Bury,177,83,5,3,47,215,265
E06000049,Cheshire East,621,353,32,14,171,822,1007
E06000050,Cheshire West and Chester,521,199,28,8,115,625,748
E10000006,Cumbria,828,347,51,24,177,1025,1226
E06000006,Halton,174,83,10,1,37,229,267
E08000011,Knowsley,195,74,11,4,53,223,280
E10000017,Lancashire,1969,832,100,32,566,2313,2911
E08000012,Liverpool,779,265,17,8,189,864,1061
E08000003,Manchester,684,320,10,4,146,864,1014
E08000004,Oldham,232,93,9,1,49,284,334
E08000005,Rochdale,159,90,6,2,38,215,255
E08000006,Salford,249,106,8,4,62,297,363
E08000014,Sefton,320,116,10,4,79,363,446
E08000013,St. Helens,238,95,7,3,67,270,340
E08000007,Stockport,218,107,7,3,42,287,332
E08000008,Tameside,179,72,4,2,50,203,255
E08000009,Trafford,209,73,7,4,29,256,289
E06000007,Warrington,341,180,18,4,64,471,539
E08000010,Wigan,239,85,7,3,57,271,331
E08000015,Wirral,393,131,4,4,118,406,528
E12000003,Yorkshire and The Humber,9147,2838,459,152,1981,10328,12461
E08000016,Barnsley,356,83,17,7,66,388,461
E08000032,Bradford,851,268,40,10,168,981,1159
E08000033,Calderdale,291,103,15,4,76,329,409
E08000017,Doncaster,607,166,21,10,95,691,796
E06000011,East Riding of Yorkshire,525,227,55,8,167,632,807
E06000010,"Kingston upon Hull, City of",630,152,19,7,113,681,801
E08000034,Kirklees,608,234,30,13,116,744,873
E08000035,Leeds,1421,338,30,15,259,1515,1789
E06000012,North East Lincolnshire,350,92,15,3,78,376,457
E06000013,North Lincolnshire,336,137,40,5,98,410,513
E10000023,North Yorkshire,1091,420,94,46,347,1212,1605
E08000018,Rotherham,478,125,28,7,101,524,632
E08000019,Sheffield,844,223,29,7,146,950,1103
E08000036,Wakefield,469,153,13,10,96,530,636
E06000014,York,290,117,13,0,55,365,420
E12000004,East Midlands,7054,3084,535,136,1559,9143,10838
E06000015,Derby,441,169,21,1,71,559,631
E10000007,Derbyshire,1050,504,101,21,240,1394,1655
E06000016,Leicester,636,265,22,2,86,835,923
E10000018,Leicestershire,912,429,47,23,145,1220,1388
E10000019,Lincolnshire,1441,672,155,34,341,1935,2310
E10000021,Northamptonshire,774,379,54,25,272,910,1207
E06000018,Nottingham,611,188,18,3,110,755,868
E10000024,Nottinghamshire,1147,447,109,24,284,1467,1775
E06000017,Rutland,42,31,8,3,10,68,81
E12000005,West Midlands,7745,3453,456,146,1506,10002,11654
E08000025,Birmingham,1688,683,74,28,347,2070,2445
E08000026,Coventry,428,134,18,5,92,483,580
E08000027,Dudley,256,150,13,8,90,321,419
E06000019,"Herefordshire, County of ",224,130,22,5,49,322,376
E08000028,Sandwell,351,163,20,7,79,448,534
E06000051,Shropshire,386,181,23,14,90,486,590
E08000029,Solihull,209,71,10,2,37,251,290
E10000028,Staffordshire,1374,626,102,24,129,1949,2102
E06000021,Stoke-on-Trent,460,216,26,4,41,657,702
E06000020,Telford and Wrekin,152,87,7,2,31,213,246
E08000030,Walsall,272,108,12,5,69,318,392
E10000031,Warwickshire,950,465,64,21,247,1211,1479
E08000031,Wolverhampton,297,141,17,3,54,398,455
E10000034,Worcestershire,698,298,48,18,151,875,1044
E12000006,East of England,8606,3937,445,168,1936,10884,12988
E06000055,Bedford,237,107,12,3,49,304,356
E10000003,Cambridgeshire,960,469,46,28,232,1215,1475
E06000056,Central Bedfordshire,372,160,33,7,93,465,565
E10000012,Essex,2023,945,103,34,478,2559,3071
E10000015,Hertfordshire,1541,708,71,25,333,1962,2320
E06000032,Luton,276,101,4,1,49,331,381
E10000020,Norfolk,1146,566,64,37,299,1440,1776
E06000031,Peterborough,405,175,12,7,70,515,592
E06000033,Southend-on-Sea,307,109,4,2,52,366,420
E10000029,Suffolk,1067,510,90,21,231,1415,1667
E06000034,Thurrock,272,87,6,3,50,312,365
E12000007,London,18612,4235,250,126,2112,20859,23097
