ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,3492,1754,246,71,759,4662,5492
E06000047,County Durham,618,347,44,20,156,833,1009
E06000005,Darlington,165,67,7,3,31,205,239
E08000020,Gateshead,315,154,24,3,67,423,493
E06000001,Hartlepool,108,36,6,2,22,126,150
E06000002,Middlesbrough,219,83,9,0,39,272,311
E08000021,Newcastle upon Tyne,442,241,23,3,83,620,706
E08000022,North Tyneside,266,142,27,2,47,386,435
E06000048,Northumberland,433,265,62,19,123,618,760
E06000003,Redcar and Cleveland,153,61,9,5,32,186,223
E08000023,South Tyneside,165,89,7,3,31,227,261
E06000004,Stockton-on-Tees,228,97,12,5,56,276,337
E08000024,Sunderland,380,172,16,6,72,490,568
E12000002,North West,9725,5293,405,157,2409,12870,15436
E06000008,Blackburn with Darwen,263,157,9,3,62,364,429
E06000009,Blackpool,322,135,5,2,50,411,463
E08000001,Bolton,300,171,14,7,61,417,485
E08000002,Bury,189,127,10,4,36,286,326
E06000049,Cheshire East,617,402,34,11,209,834,1054
E06000050,Cheshire West and Chester,601,260,16,11,187,683,881
E10000006,Cumbria,742,417,86,29,143,1073,1245
E06000006,Halton,179,91,8,4,35,239,278
E08000011,Knowsley,210,108,9,2,57,268,327
E10000017,Lancashire,1906,1043,92,28,508,2511,3047
E08000012,Liverpool,892,422,10,11,219,1094,1324
E08000003,Manchester,715,407,11,12,169,952,1133
E08000004,Oldham,200,128,5,3,43,287,333
E08000005,Rochdale,186,113,10,3,39,267,309
E08000006,Salford,242,144,9,2,68,325,395
E08000014,Sefton,337,172,10,4,77,438,519
E08000013,St. Helens,210,122,7,1,60,278,339
E08000007,Stockport,233,114,6,0,45,308,353
E08000008,Tameside,214,91,8,4,41,268,313
E08000009,Trafford,204,103,8,3,47,265,315
E06000007,Warrington,364,235,11,2,103,506,611
E08000010,Wigan,253,148,15,8,62,346,416
E08000015,Wirral,346,183,12,3,88,450,541
E12000003,Yorkshire and The Humber,9123,3744,390,137,2057,11063,13257
E08000016,Barnsley,343,166,15,5,79,440,524
E08000032,Bradford,916,366,25,13,193,1101,1307
E08000033,Calderdale,296,139,9,2,83,359,444
E08000017,Doncaster,555,274,26,11,100,744,855
E06000011,East Riding of Yorkshire,499,249,47,12,138,645,795
E06000010,"Kingston upon Hull, City of",574,220,9,2,125,676,803
E08000034,Kirklees,732,260,21,6,135,872,1013
E08000035,Leeds,1507,405,20,14,275,1643,1932
E06000012,North East Lincolnshire,341,152,16,5,70,434,509
E06000013,North Lincolnshire,325,116,39,9,80,391,480
E10000023,North Yorkshire,1044,537,95,31,365,1280,1676
E08000018,Rotherham,383,192,9,6,76,502,584
E08000019,Sheffield,813,349,30,7,161,1024,1192
E08000036,Wakefield,516,187,16,10,132,577,719
E06000014,York,279,132,13,4,45,375,424
E12000004,East Midlands,6990,3723,427,158,1667,9506,11331
E06000015,Derby,442,195,21,4,75,579,658
E10000007,Derbyshire,1141,620,106,19,275,1573,1867
E06000016,Leicester,695,279,14,5,78,905,988
E10000018,Leicestershire,825,531,40,24,142,1230,1396
E10000019,Lincolnshire,1312,810,99,38,331,1923,2292
E10000021,Northamptonshire,773,383,41,32,267,898,1197
E06000018,Nottingham,571,243,13,1,127,751,879
E10000024,Nottinghamshire,1185,633,88,31,357,1586,1974
E06000017,Rutland,46,29,5,4,15,61,80
E12000005,West Midlands,7452,3959,341,160,1564,10028,11752
E08000025,Birmingham,1432,739,45,22,351,1843,2216
E08000026,Coventry,403,187,10,3,102,495,600
E08000027,Dudley,261,147,14,5,84,333,422
E06000019,"Herefordshire, County of ",255,154,17,4,60,362,426
E08000028,Sandwell,295,170,9,6,102,366,474
E06000051,Shropshire,414,223,30,16,103,548,667
E08000029,Solihull,211,98,6,6,53,256,315
E10000028,Staffordshire,1376,756,66,28,158,2012,2198
E06000021,Stoke-on-Trent,433,199,28,7,32,621,660
E06000020,Telford and Wrekin,188,105,10,5,22,276,303
E08000030,Walsall,212,123,11,1,56,289,346
E10000031,Warwickshire,956,493,39,26,232,1230,1488
E08000031,Wolverhampton,284,171,10,10,80,375,465
E10000034,Worcestershire,732,394,46,21,129,1022,1172
E12000006,East of England,9104,4467,375,172,2039,11752,13963
E06000055,Bedford,258,115,7,1,53,326,380
E10000003,Cambridgeshire,1106,504,37,26,234,1400,1660
E06000056,Central Bedfordshire,420,192,24,9,94,533,636
E10000012,Essex,2018,1042,71,37,505,2591,3133
E10000015,Hertfordshire,1692,871,79,30,348,2264,2642
E06000032,Luton,311,132,19,2,52,408,462
E10000020,Norfolk,1130,595,45,34,269,1467,1770
E06000031,Peterborough,467,181,9,4,74,581,659
E06000033,Southend-on-Sea,281,110,3,1,55,338,394
E10000029,Suffolk,1132,613,74,23,299,1497,1819
E06000034,Thurrock,289,112,7,5,56,347,408
E12000007,London,18866,4960,271,134,2793,21170,24097
E09000002,Barking and Dagenham,337,93,6,2,42,392,436
E09000003,Barnet,778,221,21,7,102,911,1020
E09000004,Bexley,309,121,6,4,49,383,436
E09000005,Brent,702,111,7,4,79,737,820
E09000006,Bromley,472,185,17,7,78,589,674
E09000007,Camden,579,166,4,6,106,637,749
E09000001,City of London,312,61,3,3,55,318,376
E09000008,Croydon,696,239,17,5,96,851,952
E09000009,Ealing,760,151,14,8,78,839,925
E09000010,Enfield,667,124,10,6,74,721,801
E09000011,Greenwich,447,169,16,3,66,563,632
E09000012,Hackney,677,195,6,5,141,732,878
E09000013,Hammersmith and Fulham,521,113,4,2,77,559,638
E09000014,Haringey,606,135,8,3,100,646,749
E09000015,Harrow,290,93,9,3,42,347,392
E09000016,Havering,438,140,14,7,63,522,592
E09000017,Hillingdon,620,171,10,5,75,721,801
E09000018,Hounslow,578,146,7,2,69,660,731
E09000019,Islington,634,149,7,1,118,671,790
E09000020,Kensington and Chelsea,544,113,4,1,93,567,661
E09000021,Kingston upon Thames,270,69,4,1,32,310,343
E09000022,Lambeth,841,216,12,6,143,920,1069
E09000023,Lewisham,629,205,4,3,96,739,838
E09000024,Merton,366,80,3,3,58,388,449
E09000025,Newham,594,143,10,5,72,670,747
E09000026,Redbridge,536,137,8,4,84,593,681
E09000027,Richmond upon Thames,332,83,7,1,51,370,422
E09000028,Southwark,718,216,2,4,110,822,936
E09000029,Sutton,286,87,7,2,40,338,380
E09000030,Tower Hamlets,822,170,3,5,156,834,995
E09000031,Waltham Forest,447,155,7,1,65,543,609
E09000032,Wandsworth,775,211,9,5,100,890,995
E09000033,Westminster,1251,286,5,9,180,1353,1542
E09000018,London Airport (Heathrow),32,6,0,1,3,34,38
E12000008,South East,15369,6879,536,219,3412,19181,22812
E06000036,Bracknell Forest,137,74,4,1,26,188,215
E06000043,Brighton and Hove,608,175,7,5,147,638,790
E10000002,Buckinghamshire,804,315,50,20,167,982,1169
E10000011,East Sussex,910,330,35,12,270,993,1275
E10000014,Hampshire,2056,957,61,31,589,2454,3074
E06000046,Isle of Wight,265,120,16,4,75,322,401
E10000016,Kent,2812,1236,112,49,422,3692,4163
E06000035,Medway,417,188,10,2,48,565,615
E06000042,Milton Keynes,434,230,9,9,81,584,674
E10000025,Oxfordshire,989,579,43,25,259,1327,1611
E06000044,Portsmouth,469,161,4,3,117,514,634
E06000038,Reading,233,93,7,2,37,294,333
E06000039,Slough,327,85,2,2,39,373,414
E06000045,Southampton ,463,164,5,1,108,523,632
E10000030,Surrey,2560,1280,103,16,525,3426,3967
E06000037,West Berkshire,211,124,12,8,62,277,347
E10000032,West Sussex,1269,533,41,25,353,1465,1843
E06000040,Windsor and Maidenhead,241,135,9,2,56,327,385
E06000041,Wokingham,164,100,6,2,31,237,270
E12000009,South West,7711,3866,210,187,1664,9936,11787
E06000022,Bath and North East Somerset,197,127,9,4,27,302,333
E06000028,Bournemouth,404,104,10,3,99,416,518
E06000023,"Bristol, City of",714,347,16,7,132,938,1077
E06000052,Cornwall,773,505,23,24,166,1111,1301
E10000008,Devon,1100,683,36,31,243,1545,1819
E10000009,Dorset,678,263,21,15,178,769,962
E10000013,Gloucestershire,699,357,22,31,196,851,1078
E06000053,Isles of Scilly,2,0,0,0,0,2,2
E06000024,North Somerset,286,129,1,6,49,361,416
E06000026,Plymouth,413,172,2,6,53,528,587
E06000029,Poole,279,96,6,4,56,321,381
E10000027,Somerset,702,357,16,27,156,892,1075
E06000025,South Gloucestershire,351,132,6,7,37,445,489
E06000030,Swindon,311,125,10,3,66,377,446
E06000027,Torbay,213,90,1,2,30,272,304
E06000054,Wiltshire,589,379,31,17,176,806,999
E92000001,England,87832,38645,3201,1395,18364,110168,129927
